iter	Passed	Remaining
784	6612	1811
785	6619	1802
786	6626	1793
787	6640	1786
788	6649	1778
789	6657	1769
790	6664	1760
791	6673	1752
792	6682	1744
793	6692	1736
794	6706	1729
795	6716	1721
796	6724	1712
797	6732	1704
798	6740	1695
799	6751	1687
800	6761	1679
801	6769	1671
802	6777	1662
803	6786	1654
804	6794	1645
805	6808	1638
806	6816	1630
807	6824	1621
808	6833	1613
809	6841	1604
810	6849	1596
811	6856	1587
812	6866	1579
813	6873	1570
814	6881	1562
815	6890	1553
816	6898	1545
817	6912	1537
818	6918	1529
819	6925	1520
820	6933	1511
821	6940	1502
822	6947	1494
823	6954	1485
824	6962	1476
825	6969	1468
826	6979	1460
827	6996	1453
828	7004	1444
829	7010	1435
830	7018	1427
831	7028	1419
832	7041	1411
833	7048	1402
834	7058	1394
835	7066	1386
836	7075	1377
837	7084	1369
838	7093	1361
839	7100	1352
840	7108	1344
841	7117	1335
842	7126	1327
843	7134	1318
844	7141	1310
845	7159	1303
846	7169	1294
847	7176	1286
848	7185	1278
849	7195	1269
850	7203	1261
851	7211	1252
852	7219	1244
853	7227	1235
854	7235	1227
855	7243	1218
856	7252	1210
857	7260	1201
858	7269	1193
859	7278	1184
860	7287	1176
861	7296	1168
862	7303	1159
863	7313	1151
864	7321	1142
865	7330	1134
866	7340	1126
867	7347	1117
868	7354	1108
869	7360	1099
870	7370	1091
871	7378	1083
872	7387	1074
873	7401	1067
874	7409	1058
875	7418	1050
876	7427	1041
877	7435	1033
878	7442	1024
879	7449	1015
880	7457	1007
881	7465	998
882	7474	990
883	7482	981
884	7490	973
885	7498	964
886	7504	956
887	7514	947
888	7524	939
889	7531	930
890	7538	922
891	7545	913
892	7552	905
893	7560	896
894	7568	887
895	7575	879
896	7589	871
897	7597	862
898	7603	854
899	7613	845
900	7622	837
901	7628	828
902	7636	820
903	7649	812
904	7656	803
905	7663	795
906	7675	787
907	7683	778
908	7692	770
909	7700	761
910	7708	753
911	7716	744
912	7726	736
913	7736	727
914	7745	719
915	7753	711
916	7762	702
917	7775	694
918	7790	686
919	7800	678
920	7808	669
921	7815	661
922	7825	652
923	7833	644
924	7842	635
925	7850	627
926	7859	618
927	7867	610
928	7875	601
929	7882	593
930	7889	584
931	7903	576
932	7911	568
933	7920	559
934	7928	551
935	7936	542
936	7944	534
937	7952	525
938	7960	517
939	7967	508
940	7975	500
941	7984	491
942	7992	483
943	8000	474
944	8014	466
945	8026	458
946	8036	449
947	8045	441
948	8053	432
949	8059	424
950	8066	415
951	8072	407
952	8079	398
953	8086	389
954	8094	381
955	8101	372
956	8107	364
957	8116	355
958	8123	347
959	8131	338
960	8140	330
961	8147	321
962	8155	313
963	8169	305
964	8176	296
965	8184	288
966	8191	279
967	8197	271
968	8204	262
969	8211	253
970	8219	245
971	8230	237
972	8235	228
973	8246	220
974	8253	211
975	8263	203
976	8271	194
977	8280	186
978	8289	177
979	8298	169
980	8307	160
981	8314	152
982	8323	143
983	8330	135
984	8339	127
985	8348	118
986	8356	110
987	8365	101
988	8373	93
989	8383	84
990	8391	76
991	8399	67
992	8408	59
993	8416	50
994	8423	42
995	8432	33
996	8440	25
997	8449	16
998	8458	8
999	8468	0
